,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
101,0.589,0.434,1,-10.877,1,0.368,0.766,0.000152,0.212,0.196,178.775,3
102,0.104,0.734,10,-13.37,0,0.387,8.34e-05,0.0572,0.0821,0.162,67.508,3
103,0.52,0.885,4,-4.432,1,0.0371,0.00144,7.19e-06,0.121,0.602,104.646,4
104,0.709,0.549,11,-10.805,1,0.613,0.0339,0.121,0.128,0.662,98.457,4
105,0.594,0.953,1,-3.998,1,0.0674,7.41e-05,0.000315,0.203,0.355,90.95,4
107,0.312,0.995,4,-3.125,0,0.178,0.000183,0.115,0.0743,0.102,138.813,4
108,0.27,0.917,9,-10.113,1,0.0699,2.49e-06,0.133,0.375,0.162,111.316,4
109,0.566,0.978,2,-4.2,1,0.068,0.0168,1.42e-05,0.303,0.376,113.224,4
110,0.217,0.666,4,-9.616,1,0.0461,0.000396,0.259,0.665,0.107,108.069,4
111,0.533,0.997,8,-4.323,1,0.225,0.000208,1.42e-05,0.11,0.0558,115.103,4
112,0.31,0.988,5,-5.191,0,0.126,3.63e-05,0.156,0.481,0.0769,109.796,4
113,0.464,0.997,4,-4.659,0,0.0872,0.00011,0.197,0.972,0.3,90.98,4
115,0.169,0.858,7,-6.175,1,0.083,1.11e-05,0.0787,0.413,0.333,93.981,4
116,0.719,0.717,11,-5.789,0,0.341,0.0524,0.0,0.119,0.891,86.756,4
117,0.45,0.926,8,-6.418,1,0.0642,3.71e-05,0.622,0.135,0.342,165.03,3
120,0.632,0.975,11,-8.236,0,0.0334,0.000181,0.521,0.077,0.185,119.957,4
121,0.267,0.937,2,-4.63,1,0.181,0.000337,0.000897,0.119,0.11,112.44,4
122,0.761,0.489,7,-11.025,1,0.0355,0.212,0.0,0.25,0.968,137.907,4
124,0.517,0.961,8,-4.088,1,0.0686,1.87e-05,0.0206,0.103,0.57,139.117,4
125,0.571,0.975,4,-3.414,0,0.166,0.00398,6.48e-05,0.444,0.561,87.712,4
126,0.689,0.827,1,-5.047,1,0.0824,0.00161,9.47e-05,0.126,0.398,109.99,4
127,0.575,0.969,8,-5.944,1,0.101,0.000268,1.63e-05,0.0989,0.474,115.222,4
128,0.552,0.957,9,-4.027,1,0.0986,0.00945,0.0233,0.102,0.125,134.985,4
129,0.419,0.718,1,-4.747,1,0.0409,0.0313,0.323,0.0725,0.445,151.72,4
130,0.686,0.703,6,-9.177,1,0.307,0.00396,0.0,0.21,0.583,90.002,4
131,0.503,0.88,4,-9.882,0,0.072,0.0189,0.389,0.0541,0.651,91.669,4
132,0.51,0.99,8,-3.46,1,0.153,0.00444,0.0461,0.284,0.319,156.078,3
133,0.295,0.96,0,-3.357,1,0.105,5e-05,0.0,0.416,0.835,178.374,4
134,0.489,0.95,7,-5.826,0,0.0711,8.54e-06,0.0959,0.28,0.298,136.01,4
136,0.335,0.95,1,-8.466,1,0.132,0.000174,0.91,0.286,0.384,115.674,4
139,0.474,0.984,1,-4.628,1,0.0486,0.00065,1.59e-05,0.192,0.67,108.58,4
140,0.263,0.935,1,-4.291,1,0.164,9.74e-05,7.03e-05,0.137,0.207,176.162,4
141,0.129,0.98,2,-4.26,1,0.101,6.17e-06,0.653,0.101,0.134,179.913,3
142,0.199,0.936,0,-4.489,0,0.144,6.96e-06,0.0314,0.268,0.209,61.493,3
145,0.388,0.981,2,-4.122,1,0.0617,0.000103,0.209,0.243,0.352,106.021,4
146,0.497,0.897,7,-6.234,1,0.327,0.0607,0.0,0.389,0.529,179.955,4
147,0.324,0.863,9,-9.089,1,0.102,1.59e-05,0.269,0.0795,0.59,97.004,4
151,0.349,0.934,0,-9.479,1,0.0614,0.0678,0.000147,0.431,0.305,97.895,4
152,0.601,0.977,1,-5.658,0,0.125,0.00823,7.22e-05,0.689,0.175,118.282,4
154,0.338,0.809,2,-5.813,1,0.0438,2.1e-05,0.505,0.251,0.0497,96.897,4
155,0.21,0.93,2,-8.252,1,0.0595,2.16e-05,0.119,0.205,0.75,172.404,4
156,0.411,0.766,9,-11.836,1,0.0483,0.00309,0.0,0.0481,0.65,88.886,4
159,0.6,0.887,4,-5.391,1,0.082,0.00282,5.46e-05,0.0492,0.131,113.484,3
160,0.404,0.924,7,-4.677,1,0.053,0.000234,0.000144,0.152,0.378,180.212,4
163,0.386,0.773,7,-4.056,1,0.0295,0.351,0.411,0.0904,0.521,146.464,4
164,0.52,0.512,11,-9.861,1,0.453,0.239,0.0,0.174,0.864,168.006,4
166,0.571,0.779,7,-6.718,1,0.0452,0.0081,1.45e-06,0.287,0.586,98.028,4
170,0.274,0.978,4,-6.402,1,0.153,6.36e-06,0.00128,0.304,0.104,109.373,4
171,0.211,0.98,6,-4.316,1,0.213,7.29e-06,0.0171,0.131,0.105,167.846,3
172,0.273,0.727,3,-7.519,0,0.0705,0.000713,0.0597,0.705,0.261,133.098,4
173,0.458,0.998,4,-2.371,0,0.201,0.0234,0.000948,0.141,0.0398,101.114,4
175,0.449,0.974,1,-3.188,0,0.0923,0.000593,0.161,0.202,0.0953,135.045,4
176,0.789,0.473,2,-11.468,1,0.395,0.0568,0.0,0.872,0.243,136.694,4
177,0.452,0.817,2,-8.372,1,0.0459,4.06e-05,0.915,0.394,0.354,130.161,4
178,0.331,0.981,4,-4.463,0,0.129,3.13e-05,0.11,0.192,0.269,114.186,4
180,0.375,0.795,2,-8.075,1,0.0764,0.000108,0.00103,0.332,0.963,130.675,4
181,0.506,0.968,7,-4.846,1,0.143,0.00117,0.0219,0.234,0.296,130.067,4
182,0.366,0.892,5,-4.814,1,0.0599,0.00147,0.0,0.0972,0.62,154.9,4
183,0.722,0.757,0,-6.393,1,0.243,0.146,0.0,0.229,0.447,80.414,4
184,0.397,0.746,10,-15.867,1,0.0457,7.95e-06,0.717,0.17,0.115,107.742,4
185,0.433,0.932,2,-4.115,1,0.0826,2.22e-05,0.106,0.312,0.665,175.077,4
186,0.326,0.848,2,-5.369,1,0.0847,0.00115,0.661,0.105,0.478,95.558,3
187,0.374,0.966,11,-4.254,1,0.11,0.00021,0.0689,0.11,0.495,112.446,4
189,0.533,0.88,4,-5.084,1,0.0366,0.00642,0.000159,0.0565,0.704,127.019,4
190,0.594,0.949,0,-3.433,1,0.143,0.00538,0.0,0.323,0.315,114.976,4
192,0.926,0.602,10,-12.329,0,0.325,0.0251,0.0227,0.242,0.458,102.0,4
193,0.361,0.975,9,-3.394,1,0.157,0.0285,0.0,0.142,0.567,126.477,4
194,0.322,0.969,7,-5.852,1,0.055,4.62e-06,0.145,0.11,0.0367,119.861,4
195,0.511,0.961,7,-4.45,0,0.0651,6.36e-05,0.462,0.0924,0.285,100.043,4
196,0.827,0.676,7,-9.735,1,0.262,0.0257,4.8e-06,0.079,0.792,97.835,4
197,0.817,0.658,2,-6.212,1,0.306,0.108,0.0,0.115,0.393,91.992,4
199,0.21,0.841,1,-5.676,0,0.0715,0.000227,0.000349,0.0688,0.39,182.416,3
200,0.442,0.897,9,-8.27,1,0.0723,0.00418,0.062,0.578,0.33,115.311,3
203,0.479,0.865,9,-5.057,1,0.0763,1.43e-05,0.056,0.451,0.799,149.98,4
206,0.476,0.943,7,-4.058,1,0.0511,0.00296,7.76e-06,0.146,0.607,116.263,4
208,0.555,0.857,6,-5.744,1,0.0588,0.00113,0.00817,0.107,0.641,111.59,3
212,0.337,0.931,2,-5.84,1,0.0539,0.0648,0.0729,0.156,0.547,78.161,4
213,0.572,0.94,0,-3.552,1,0.0467,0.00036,0.000448,0.218,0.395,107.803,4
214,0.228,0.97,7,-3.534,0,0.132,3.39e-05,0.939,0.218,0.0418,159.143,4
215,0.45,0.99,6,-3.989,0,0.0568,3.23e-06,0.919,0.0616,0.217,105.095,4
216,0.534,0.966,1,-1.955,0,0.0984,2.47e-05,3.63e-05,0.0703,0.483,132.97,4
218,0.425,0.915,2,-5.807,0,0.0831,0.000475,0.00539,0.119,0.525,178.11,3
219,0.179,0.979,10,-7.735,1,0.155,7.67e-05,0.416,0.155,0.0491,136.812,4
223,0.299,0.996,2,-4.067,0,0.15,1.01e-06,0.399,0.31,0.156,112.966,4
224,0.277,0.99,8,-4.824,1,0.0947,0.00169,0.871,0.211,0.194,132.165,4
227,0.401,0.918,2,-5.59,1,0.0349,0.0343,0.673,0.249,0.687,145.516,4
228,0.565,0.792,8,-5.803,1,0.0308,2.91e-05,0.0128,0.0711,0.299,125.044,4
229,0.341,0.828,4,-5.945,1,0.0398,0.000238,0.206,0.183,0.348,83.58,4
231,0.624,0.833,6,-8.32,1,0.0323,2.93e-05,0.686,0.0352,0.806,100.983,4
232,0.288,0.928,6,-5.479,1,0.0551,4.26e-05,0.319,0.38,0.155,168.009,3
233,0.369,0.678,4,-6.74,1,0.0386,0.000605,0.00882,0.275,0.128,168.467,4
234,0.298,0.976,1,-4.805,1,0.115,0.000625,0.0117,0.188,0.121,144.463,3
235,0.362,0.899,5,-4.845,0,0.0592,0.335,0.000103,0.18,0.702,104.373,3
236,0.475,0.816,6,-5.502,1,0.0644,0.0027,0.366,0.332,0.248,130.065,4
237,0.515,0.86,10,-9.394,0,0.207,0.00514,2.26e-05,0.117,0.449,128.151,4
238,0.459,0.962,7,-5.41,1,0.0706,1.43e-05,0.0799,0.402,0.492,84.581,4
239,0.566,0.894,0,-6.185,0,0.0345,0.00073,2.7e-05,0.0224,0.0729,131.006,4
240,0.186,0.995,5,-4.54,1,0.168,5.86e-05,0.0286,0.273,0.138,168.235,4
241,0.419,0.94,9,-7.197,1,0.0386,0.000242,0.0216,0.148,0.933,92.015,4
242,0.187,0.993,11,-4.956,0,0.221,0.000965,0.00331,0.288,0.0378,194.852,4
243,0.888,0.703,9,-6.888,1,0.146,0.0262,0.000752,0.127,0.568,114.18,4
244,0.796,0.839,1,-4.808,1,0.271,0.103,0.0,0.0446,0.708,89.033,4
246,0.228,0.846,7,-8.148,1,0.0769,1.3e-05,0.38,0.401,0.462,135.697,4
247,0.539,0.984,2,-2.994,1,0.0969,1.04e-05,0.0042,0.273,0.263,117.937,4
248,0.238,0.998,2,-3.528,1,0.344,0.0719,0.0,0.508,0.0742,72.724,4
249,0.718,0.434,3,-12.107,0,0.907,0.386,0.0,0.831,0.78,123.549,3
250,0.489,0.989,6,-4.302,1,0.124,0.000358,0.0515,0.0847,0.0585,115.987,4
251,0.736,0.944,1,-5.427,1,0.0844,0.00262,0.342,0.042,0.262,124.0,4
253,0.892,0.867,4,-4.756,0,0.11,0.306,9.1e-06,0.123,0.87,109.024,4
258,0.293,0.946,4,-8.337,1,0.0517,6.98e-05,0.0,0.217,0.818,172.641,4
260,0.511,0.97,2,-4.399,1,0.0594,0.000807,0.00585,0.232,0.459,139.159,4
261,0.366,0.973,8,-2.794,1,0.0473,1.48e-05,0.222,0.192,0.541,115.493,4
